id,numero,resumo,conteudo
1,decisao 1,resumo 1,conteudo 1
2,decisao 2,resumo 2,conteudo 2
3,decisao 3,resumo 3,conteudo 3
4,decisao 4,resumo 4,conteudo 4
5,decisao 5,resumo 5,conteudo 5
6,decisao 6,resumo 6,conteudo 6
7,decisao 7,resumo 7,conteudo 7
8,decisao 8,resumo 8,conteudo 8
9,decisao 9,resumo 9,conteudo 9
10,decisao 10,resumo 10,conteudo 10
11,decisao 11,resumo 11,conteudo 11
12,decisao 12,resumo 12,conteudo 12
13,decisao 13,resumo 13,conteudo 13
14,decisao 14,resumo 14,conteudo 14
15,decisao 15,resumo 15,conteudo 15
16,decisao 16,resumo 16,conteudo 16
17,decisao 17,resumo 17,conteudo 17
18,decisao 18,resumo 18,conteudo 18
19,decisao 19,resumo 19,conteudo 19
20,decisao 20,resumo 20,conteudo 20
21,decisao 21,resumo 21,conteudo 21
22,decisao 22,resumo 22,conteudo 22
23,decisao 23,resumo 23,conteudo 23
24,decisao 24,resumo 24,conteudo 24
25,decisao 25,resumo 25,conteudo 25
26,decisao 26,resumo 26,conteudo 26
27,decisao 27,resumo 27,conteudo 27
28,decisao 28,resumo 28,conteudo 28
29,decisao 29,resumo 29,conteudo 29
30,decisao 30,resumo 30,conteudo 30
31,decisao 31,resumo 31,conteudo 31
32,decisao 32,resumo 32,conteudo 32
33,decisao 33,resumo 33,conteudo 33
34,decisao 34,resumo 34,conteudo 34
35,decisao 35,resumo 35,conteudo 35
36,decisao 36,resumo 36,conteudo 36
37,decisao 37,resumo 37,conteudo 37
38,decisao 38,resumo 38,conteudo 38
39,decisao 39,resumo 39,conteudo 39
40,decisao 40,resumo 40,conteudo 40
41,decisao 41,resumo 41,conteudo 41
42,decisao 42,resumo 42,conteudo 42
43,decisao 43,resumo 43,conteudo 43
44,decisao 44,resumo 44,conteudo 44
45,decisao 45,resumo 45,conteudo 45
46,decisao 46,resumo 46,conteudo 46
47,decisao 47,resumo 47,conteudo 47
48,decisao 48,resumo 48,conteudo 48
49,decisao 49,resumo 49,conteudo 49
50,decisao 50,resumo 50,conteudo 50
51,decisao 51,resumo 51,conteudo 51
52,decisao 52,resumo 52,conteudo 52
53,decisao 53,resumo 53,conteudo 53
54,decisao 54,resumo 54,conteudo 54
55,decisao 55,resumo 55,conteudo 55
56,decisao 56,resumo 56,conteudo 56
57,decisao 57,resumo 57,conteudo 57
58,decisao 58,resumo 58,conteudo 58
59,decisao 59,resumo 59,conteudo 59
60,decisao 60,resumo 60,conteudo 60
61,decisao 61,resumo 61,conteudo 61
62,decisao 62,resumo 62,conteudo 62
63,decisao 63,resumo 63,conteudo 63
64,decisao 64,resumo 64,conteudo 64
65,decisao 65,resumo 65,conteudo 65
66,decisao 66,resumo 66,conteudo 66
67,decisao 67,resumo 67,conteudo 67
68,decisao 68,resumo 68,conteudo 68
69,decisao 69,resumo 69,conteudo 69
70,decisao 70,resumo 70,conteudo 70
71,decisao 71,resumo 71,conteudo 71
72,decisao 72,resumo 72,conteudo 72
73,decisao 73,resumo 73,conteudo 73
74,decisao 74,resumo 74,conteudo 74
75,decisao 75,resumo 75,conteudo 75
76,decisao 76,resumo 76,conteudo 76
77,decisao 77,resumo 77,conteudo 77
78,decisao 78,resumo 78,conteudo 78
79,decisao 79,resumo 79,conteudo 79
80,decisao 80,resumo 80,conteudo 80
81,decisao 81,resumo 81,conteudo 81
82,decisao 82,resumo 82,conteudo 82
83,decisao 83,resumo 83,conteudo 83
84,decisao 84,resumo 84,conteudo 84
85,decisao 85,resumo 85,conteudo 85
86,decisao 86,resumo 86,conteudo 86
87,decisao 87,resumo 87,conteudo 87
88,decisao 88,resumo 88,conteudo 88
89,decisao 89,resumo 89,conteudo 89
90,decisao 90,resumo 90,conteudo 90
91,decisao 91,resumo 91,conteudo 91
92,decisao 92,resumo 92,conteudo 92
93,decisao 93,resumo 93,conteudo 93
94,decisao 94,resumo 94,conteudo 94
95,decisao 95,resumo 95,conteudo 95
96,decisao 96,resumo 96,conteudo 96
97,decisao 97,resumo 97,conteudo 97
98,decisao 98,resumo 98,conteudo 98
99,decisao 99,resumo 99,conteudo 99
100,decisao 100,resumo 100,conteudo 100
101,decisao 101,resumo 101,conteudo 101
102,decisao 102,resumo 102,conteudo 102
103,decisao 103,resumo 103,conteudo 103
104,decisao 104,resumo 104,conteudo 104
105,decisao 105,resumo 105,conteudo 105
106,decisao 106,resumo 106,conteudo 106
107,decisao 107,resumo 107,conteudo 107
108,decisao 108,resumo 108,conteudo 108
109,decisao 109,resumo 109,conteudo 109
110,decisao 110,resumo 110,conteudo 110
111,decisao 111,resumo 111,conteudo 111
112,decisao 112,resumo 112,conteudo 112
113,decisao 113,resumo 113,conteudo 113
114,decisao 114,resumo 114,conteudo 114
115,decisao 115,resumo 115,conteudo 115
116,decisao 116,resumo 116,conteudo 116
117,decisao 117,resumo 117,conteudo 117
118,decisao 118,resumo 118,conteudo 118
119,decisao 119,resumo 119,conteudo 119
120,decisao 120,resumo 120,conteudo 120
121,decisao 121,resumo 121,conteudo 121
122,decisao 122,resumo 122,conteudo 122
123,decisao 123,resumo 123,conteudo 123
124,decisao 124,resumo 124,conteudo 124
125,decisao 125,resumo 125,conteudo 125
126,decisao 126,resumo 126,conteudo 126
127,decisao 127,resumo 127,conteudo 127
128,decisao 128,resumo 128,conteudo 128
129,decisao 129,resumo 129,conteudo 129
130,decisao 130,resumo 130,conteudo 130
131,decisao 131,resumo 131,conteudo 131
132,decisao 132,resumo 132,conteudo 132
133,decisao 133,resumo 133,conteudo 133
134,decisao 134,resumo 134,conteudo 134
135,decisao 135,resumo 135,conteudo 135
136,decisao 136,resumo 136,conteudo 136
137,decisao 137,resumo 137,conteudo 137
138,decisao 138,resumo 138,conteudo 138
139,decisao 139,resumo 139,conteudo 139
140,decisao 140,resumo 140,conteudo 140
141,decisao 141,resumo 141,conteudo 141
142,decisao 142,resumo 142,conteudo 142
143,decisao 143,resumo 143,conteudo 143
144,decisao 144,resumo 144,conteudo 144
145,decisao 145,resumo 145,conteudo 145
146,decisao 146,resumo 146,conteudo 146
147,decisao 147,resumo 147,conteudo 147
148,decisao 148,resumo 148,conteudo 148
149,decisao 149,resumo 149,conteudo 149
150,decisao 150,resumo 150,conteudo 150
151,decisao 151,resumo 151,conteudo 151
152,decisao 152,resumo 152,conteudo 152
153,decisao 153,resumo 153,conteudo 153
154,decisao 154,resumo 154,conteudo 154
155,decisao 155,resumo 155,conteudo 155
156,decisao 156,resumo 156,conteudo 156
157,decisao 157,resumo 157,conteudo 157
158,decisao 158,resumo 158,conteudo 158
159,decisao 159,resumo 159,conteudo 159
160,decisao 160,resumo 160,conteudo 160
161,decisao 161,resumo 161,conteudo 161
162,decisao 162,resumo 162,conteudo 162
163,decisao 163,resumo 163,conteudo 163
164,decisao 164,resumo 164,conteudo 164
165,decisao 165,resumo 165,conteudo 165
166,decisao 166,resumo 166,conteudo 166
167,decisao 167,resumo 167,conteudo 167
168,decisao 168,resumo 168,conteudo 168
169,decisao 169,resumo 169,conteudo 169
170,decisao 170,resumo 170,conteudo 170
171,decisao 171,resumo 171,conteudo 171
172,decisao 172,resumo 172,conteudo 172
173,decisao 173,resumo 173,conteudo 173
174,decisao 174,resumo 174,conteudo 174
175,decisao 175,resumo 175,conteudo 175
176,decisao 176,resumo 176,conteudo 176
177,decisao 177,resumo 177,conteudo 177
178,decisao 178,resumo 178,conteudo 178
